,0
0,زندگی میں یہ کسی کو نہیں بتایا جائے گا ہاں اس کی ایک اور وجہ یہ بھی ہے کہ ان حقائق سے پردہ اٹھایا جائے جو کہ ڈاکٹر گراؤنڈ بھی
1,ماسٹر کے آدمیوں نے اغوا کیا ہے تو آپ یہ الزام اپنے سر نہیں دیں گے کیونکہ آپ نے ایسا نہیں کیا یہ در میری بات چھوٹی سمجھی جائے گی یہ لوگ ہیں
2,سمجھ گیا کہ میرے پاس پہنچا دیا ہے اور کون سے باہر نہیں کر رہی ہوں میں یقین سے کہہ سکتا ہوں کہ یہ ہے اور والوں کی شرط ہے وہ بھارتی حکومت کے سامنے کلمہ حق
3,وہ کون ہے کہاں رہتا ہے وہ جہاں بھی رہتا ہوگا میرے سامنے کبھی نہیں آئے گا مجھ سے ملے گا آپ بھرتی افراد سے اپنا یہی خیال آئے گا
4,کریں ان پر زور ڈالنے کی وجہ ان کے بہت سے رابطہ قائم کر آئیں یا کی نانی کی شرط ہے میں واپس مرضی کے پاس آیا اسے مختصر طور پر تمام
5,ایسا کون کرسکتا ہے سوچیے میں آپ کے چیف کو یہ پتا نہیں جا رہی ہیں ان کے چیف کے دماغ میں پہنچ گیا اسے بھی بتایا کہ ماسٹر نے
6,قربانی کیا ہے کسی اور کی ضرورت ہے اور جس نے بھی ایسا کیا ہے وہ اس حقیقت کو چھپانا چاہتا ہے اور نے یہ باتیں سننے کے بعد سوچنا شروع کیا
7,قربانی کے بہت سے رابطہ قائم ہوگیا اس نے کہا آپ صرف بول رہا ہوں میری آواز سے آپ نے پہچان لیا ہوگا اور ایک
8,صحیح استعمال ہو آپ کو بھلا کون نہیں جانتا فرمائے کیا فرمایا آپ نے ہمارے ہاتھ لگی ہے
9,اب میں جا رہی ہوں آپ کو وقت دیں چیف نے کہا آپ نے اغواء کیا ہے یا نہیں ابھی حقیقت معلوم ہوجائے گی دیوی آپ
10,تمام پہنچ رہی ہیں اور میں پہنچ گیا تھوڑی دیر تک ادھر کی باتیں کرتا رہا رسول کی حیثیت سے دھمکیاں دیتا رہا کہ وہ اپنے جرم کا اعتراف کرلیا
11,مرحوم بیوی کی بس یہ دیکھی ہے شادی کے بعد بیوی کے پاس رقم چلی جاتی تو آدمی کے لئے اپنے اخراجات پورے کرنے بھی مشکل تھے چنانچہ
12,میں تمہارے دماغ کی گہرائیوں میں اتر کر تمہارے جن کو پا چکی ہوں اور اس کو تمہارے عدل و انصاف کیا ہے بلال تمہیں کچھ پتہ نہیں ہے کہ وہ کہاں رکھا گیا ہے
13,میں ابھی تم سے نمٹنے کی چیف آفیسر کے دماغ میں پہنچ کر اسے بتایا میں نے اس کا دماغ پڑھ لیا ہے اس کے ابو نے بیٹی کو ہوا کیا ہے وہاں سے کہا
14,پاک فوج کی حال چال چل رہا ہے ہمیں بھی خوش رکھنے کی کوشش کر رہا ہے اور آپ کو بھی حاصل کرنا چاہتا ہے بہرحال میں ان کے خلاف ضروری اقدامات کر رہا ہوں
15,ٹرانسلیٹر کے ذریعے آپ نے اعلیٰ حکام سے رابطہ قائم کرنے لگا وہ کہنا چاہتا تھا کہ حقوق کی تنظیم کے جتنے دفاع بھارت اور نیپال میں ہیں سب پر کڑی نظر رکھی جائے
16,اس کے پاس وجہ ہے کہ وہ کوئی قدم اٹھائے بہت سنجیدہ معاملہ ہے کیونکہ آدمی کو علم ہے کہ ہم اس معاملے میں پڑھ چکے ہیں چلو اس کے گھر چلتے ہیں رپورٹ
17,اتنی دیر میں سوتی اور سونیا مختلف چیکنگ کے مراحل سے گزر چکی تھی تیاری میں پہنچ گئی تھی ان کے ہاتھوں میں جو آئی تھی وہ بھی تبدیل ہو چکی تھی اور
18,کیونکہ ان کے پاس ایک ایک پارس موجود تھا دونوں سینڈ اور گیس کے ذریعے زندہ اور خیریت تھے دینے میں دماغ میں پہنچ کر کہاں جاتی ہے
19,گیٹ سے اندر چلا گیا ہے اس کے بعد جانتی ہو کیا ہوگا اس نے چپ چاپ سر کو جھکا لیا میں نے کہا تمہارے بیٹے کو پہنچنے سے پہلے یہ خبر پہنچی
20,لنگی پھر بھارت کی سیکرٹ سروس والے تھائی لینڈ کے انٹیلیجنس والے اور دوسری تمام خطرناک تنظیم میں وہاں تمہارے اطراف کے رکھ لیں گی وہاں بھی مسئلے پیدا ہو
21,31 مارچ کی ہے تم متحرک کرنے کے لئے کہہ رہے ہو میں تمہارے لیے اپنے آپ کو بھی فنا کر سکتی ہو
22,کہ تم اس وقت شدید سردی کے دماغ میں پہنچ جاؤں مجھے دوسری جگہ بھیجنا ہے ضرورت پڑنے لگی
23,20 مئی کے کچن میں پہنچ کر اپنے لیے دو انڈے والے چائے تیار کی اور ہلکا سا ناشتہ کرنے لگا اس دوران میں مر جانا کے پاس پہنچا ہوا تھا
24,وہ پل بھر کے ساتھ قرآن کے مشرقی ساحل پر پہنچ گئی تھی جن میں فون کر کے گوریلوں نے بخیریت لے آئے تھے اس وقت وہ جگہ سے باتیں کر رہی تھی وہ پوچھ رہا تھا
25,ساتھیوں میں سے ہیں جن پر وہ اندھا اعتماد کرتا ہے بے شک آپ سے وہ کوئی بات نہیں چھپا سکتے تھے اگر زمانی کے قابل ہوتے تو یقینا آپ سے دماغی رابطہ قائم کر دے
26,میں چند گھنٹے پہلے فراز صاحب سے ملاقات کی ہے وہ خانی سے معذوری ظاہر کر رہے تھے یہ بتائیں آپ سے رابطہ قائم کیا تھا
27,یہاں پر قائم کرتا رہا ہمارے اعلیٰ حکام نے یہ تسلیم کرنے کے لیے تیار نہیں ہے کہ کوئی تیسرا شخص بھی خیال خوانی کے قابل ہیں اور وہ اپنے آپ کو خراج تحسین پیش کر رہا ہے
28,وہ کہتے ہیں یہ سب بادام رسول کی جالی ہیں وہاں پر فراہم کرتی رہی ہیں انہوں نے کہا کہ بند کرو وہ مجھے بھی دھوکا دے سکتی تھی
29,پولیس کے چیف آفیسر باتیں کر رہا ہے اس نے ووٹ کے ذریعے اپنی شناخت کروائی پھر کہاں میں اٹھ کر رہا ہوں فرمائے
30,ہو چکی ہے کہ سودی نیپال میں ٹیلی پیتھی کا مظاہرہ کر رہی ہے وہ بھارتی فوج کی حراست میں ہے مسٹر ہیں ان حالات میں ہماری ذمہ داریاں بہت بڑھ گئی ہے
31,ہمارے تک پہنچائے جائیں ایسا نہ ہو کہ سمندر سے انتہائی بلند کے لیے نقصان پہنچائے تو اس بندے کے اطراف میں
32,موجود ہیں جہاں مصطفیٰ علی تیمور علی بیوی کو رکھا گیا ہے ہم اس پر زبردست حملہ کر کے وہاں سے نکل آئیں گے تو ختم ہوگیا
33,میرا پیچھا کیا ہاں یہی لگتا ہے وہاں یہ رات میں ہے چالاک آدمی ہے رات کو اگر اس نے آپ کو مارنے کی کوشش کی تو آپ کو
34,صالح بیوی کے لئے مسلح گارڈز کی ڈیوٹی بتائی جارہی ہے لیکن اس بند گاڑی میں ان دونوں کو لے جایا گیا تھا ہم نے جان پر کھیل کر بھی معلوم کیا تو پتہ چلا تین
35,ان کے پہلو کا ہیلی کاپٹر یہاں سے روانہ ہوا ہے الیکٹریکل میں جانے والوں کی جو فہرست کتب میں موجود ہے اس میں فرہاد علی تیمور علی کا نام لکھا ہوا ہے یہ میں نے
36,سونیا میرے پاس موجود ہے میں تمہاری ایک ایک بار اسے بتا دی جارہی ہیں وہ تمہاری ذات سے بہت خوش ہے اس کا مشورہ ہے کہ کسی ترجمہ کو دوست
37,بنا کر چلے آؤ وہاں ہم اس سے نمٹنے گے یا تو سونیا پرسوں واپس آگئی ہو اللہ تعالی کا کرم شامل حال رہا تو آدھی رات کے بعد پیارے
